product_id,product_name,category,price,rating
P001,Samsung Galaxy S23,Smartphone,74999,4.8
P002,Samsung Galaxy A54,Smartphone,35999,4.4
P003,Samsung Galaxy M34,Smartphone,18999,4.3
P004,iPhone 15,Smartphone,79999,4.9
P005,iPhone 14,Smartphone,68999,4.8
P006,iPhone 13,Smartphone,58999,4.7
P007,Xiaomi Redmi Note 13,Smartphone,16999,4.4
P008,Xiaomi 13 Pro,Smartphone,74999,4.6
P009,Realme Narzo 60,Smartphone,16999,4.3
P010,Realme C55,Smartphone,12999,4.2
P011,OnePlus 11R,Smartphone,39999,4.6
P012,OnePlus Nord CE 3,Smartphone,25999,4.5
P013,Vivo V29,Smartphone,32999,4.4
P014,Vivo Y27,Smartphone,14999,4.1
P015,Oppo A78,Smartphone,17999,4.2
P016,Oppo Reno 10,Smartphone,32999,4.4
P017,Samsung Galaxy F54,Smartphone,28999,4.3
P018,iPhone SE 3rd Gen,Smartphone,49999,4.5
P019,Xiaomi Poco X5 Pro,Smartphone,22999,4.4
P020,Xiaomi Redmi 12,Smartphone,10999,4.1
P021,OnePlus 12,Smartphone,69999,4.8
P022,OnePlus Nord N20,Smartphone,15999,4.2
P023,Realme GT Neo 3,Smartphone,32999,4.5
P024,Oppo F21 Pro,Smartphone,25999,4.3
P025,iQOO Neo 7,Smartphone,28999,4.4
P026,Tecno Pova 5,Smartphone,11999,4.1
P027,Moto Edge 40,Smartphone,29999,4.4
P028,Moto G54,Smartphone,13999,4.2
P029,Nokia G42,Smartphone,12999,4.0
P030,Samsung A14,Smartphone,14999,4.1
P031,HP Pavilion 15,Laptop,63999,4.5
P032,HP Victus Gaming,Laptop,75999,4.6
P033,Dell Inspiron 3511,Laptop,52999,4.3
P034,Dell Gaming G15,Laptop,85999,4.6
P035,ASUS VivoBook 15,Laptop,49999,4.4
P036,ASUS ROG Strix G17,Laptop,119999,4.8
P037,Lenovo IdeaPad Slim 3,Laptop,37999,4.3
P038,Lenovo Legion 5,Laptop,99999,4.7
P039,Acer Aspire 7,Laptop,56999,4.4
P040,Apple MacBook Air M1,Laptop,83999,4.8
P041,Apple MacBook Air M2,Laptop,99999,4.9
P042,HP 14s Ryzen,Laptop,42999,4.2
P043,Dell Latitude,Laptop,65999,4.3
P044,ASUS TUF Gaming F15,Laptop,75999,4.6
P045,Lenovo ThinkPad E14,Laptop,78999,4.5
P046,Acer Predator Helios,Laptop,129999,4.7
P047,Samsung Galaxy Book3,Laptop,79999,4.6
P048,MSI Prestige 14,Laptop,104999,4.7
P049,Microsoft Surface Laptop 5,Laptop,114999,4.8
P050,Infinix INBook X2,Laptop,32999,4.1
P051,HP Omen 16,Laptop,139999,4.7
P052,Dell XPS 13,Laptop,149999,4.9
P053,ASUS Chromebook,Laptop,29999,4.0
P054,RedmiBook 15,Laptop,38999,4.2
P055,Avita Pura E14,Laptop,25999,4.0
P056,Honor MagicBook X,Laptop,48999,4.3
P057,Lenovo LOQ Gaming,Laptop,89999,4.5
P058,Acer Swift Go,Laptop,63999,4.4
P059,Apple MacBook Pro M2,Laptop,169999,4.9
P060,ASUS ExpertBook B3,Laptop,69999,4.4
P061,Samsung Crystal 55 4K,Television,46999,4.6
P062,Samsung QLED 65,Television,129999,4.8
P063,Sony Bravia 50 4K,Television,82999,4.7
P064,Sony Bravia 43 LED,Television,55999,4.5
P065,LG 55 OLED,Television,149999,4.8
P066,LG 43 UHD,Television,32999,4.4
P067,Mi Smart TV 50,Television,28999,4.3
P068,Mi Smart TV 32,Television,13999,4.2
P069,TCL QLED 55,Television,45999,4.4
P070,OnePlus TV Y1S 43,Television,24999,4.3
P071,Realme Smart TV 43,Television,22999,4.3
P072,Vu Premium 55,Television,32999,4.4
